흡연구역아이디,흡연구역명,흡연구역범위상세,시도명,시군구명,읍면동명,흡연구역구분,흡연구역면적,소재지 도로명주소,소재지 지번주소,관리기관명,위도,경도,데이터기준일,이미지,비고
광장동-02-01-033,SK네트웍스(주) 워커힐 비스타 1층 ,비스타 1층,서울특별시,광진구,광장동,흡연구역,1487.151,서울특별시 광진구 워커힐로 177,서울특별시 광진구 광장동 22-1,광진구청,37.55544881,127.1106077,2021-12-21,광장동-02-01-033-SK네트웍스(주) 워커힐 비스타 1층 .jpeg,
광장동-02-01-034,SK네트웍스(주) 워커힐 주차장 전면,주차장 전명,서울특별시,광진구,광장동,흡연구역,567.032,서울특별시 광진구 워커힐로 177,서울특별시 광진구 광장동 22-1,광진구청,37.55544881,127.1106077,2021-12-21,광장동-02-01-034-SK네트웍스(주) 워커힐 주차장 전면.jpeg,
구의2동-02-01-035,정립회관수영장 북측 모통이,북측 모퉁이,서울특별시,광진구,구의2동,흡연구역,358.352,서울특별시 광진구 워커힐로 93,서울특별시 광진구 구의동 16-3,광진구청,37.55049619,127.0978684,2021-12-21,구의2동-02-01-035-정립회관수영장 북측 모통이.jpeg,
구의2동-02-01-036,정립회관수영장 서측 모퉁이,서측 모퉁이,서울특별시,광진구,구의2동,흡연구역,309.128,서울특별시 광진구 워커힐로 93,서울특별시 광진구 구의동 16-3,광진구청,37.55049619,127.0978684,2021-12-21,구의2동-02-01-036-정립회관수영장 서측 모퉁이.jpeg,
구의1동-02-01-041,웰츠타워 건물 좌측,건물 좌측,서울특별시,광진구,구의1동,흡연구역,137.16,서울특별시 광진구 자양로 116,서울특별시 광진구 구의동 252-16,광진구청,37.53839736,127.0839882,2021-12-21,구의1동-02-01-041-웰츠타워 건물 좌측.jpeg,
구의1동-02-01-042,신도브래뉴오피스텔 후면,오피스텔 후면,서울특별시,광진구,구의1동,흡연구역,104.788,서울특별시 광진구 자양로 138,서울특별시 광진구 구의동 251-34,광진구청,37.53996409,127.0836487,2021-12-21,구의1동-02-01-042-신도브래뉴오피스텔 후면.jpeg,
자양2동-02-01-045,한국보건의료인국가시험원 ,자양동 679-30,서울특별시,광진구,자양2동,흡연구역,17.775,서울특별시 광진구 자양로 45,서울특별시 광진구 자양동 679-30,광진구청,37.53185001,127.0854161,2021-12-21,자양2동-02-01-045-한국보건의료인국가시험원 .jpeg,
화양동-02-01-046,건국대학교 행정관 뒤,행정관 뒤,서울특별시,광진구,화양동,흡연구역,191.419,서울특별시 광진구 능동로 120,서울특별시 광진구 화양동 1,광진구청,37.54322219,127.0748831,2021-12-21,화양동-02-01-046-건국대학교 행정관 뒤.jpeg,
화양동-02-01-047,건국대학교 학생회관 좌측,학생회관 좌측,서울특별시,광진구,화양동,흡연구역,159.039,서울특별시 광진구 능동로 120,서울특별시 광진구 화양동 1,광진구청,37.54131585,127.0773047,2021-12-21,화양동-02-01-047-건국대학교 학생회관 좌측.jpeg,
화양동-02-01-048,건국대학교 인문관뒤,인문관뒤,서울특별시,광진구,화양동,흡연구역,209.139,서울특별시 광진구 능동로 120,서울특별시 광진구 화양동 1,광진구청,37.54251611,127.0787964,2021-12-21,화양동-02-01-048-건국대학교 인문관뒤.jpeg,
화양동-02-01-049,건국대학교 신공학관,신공학관,서울특별시,광진구,화양동,흡연구역,629.163,서울특별시 광진구 능동로 120,서울특별시 광진구 화양동 1,광진구청,37.54084765,127.0793382,2021-12-21,화양동-02-01-049-건국대학교 신공학관.jpeg,
화양동-02-01-050,건국대학교 수의과학관 뒤,수의과학관 뒤,서울특별시,광진구,화양동,흡연구역,191.637,서울특별시 광진구 능동로 120,서울특별시 광진구 화양동 1,광진구청,37.54033739,127.0743631,2021-12-21,화양동-02-01-050-건국대학교 수의과학관 뒤.jpeg,
화양동-02-01-051,건국대학교 생명과학관 우측,생명과학관 우측,서울특별시,광진구,화양동,흡연구역,170.859,서울특별시 광진구 능동로 120,서울특별시 광진구 화양동 1,광진구청,37.54100337,127.0740013,2021-12-21,화양동-02-01-051-건국대학교 생명과학관 우측.jpeg,
화양동-02-01-052,건국대학교 상허연구관,상허연구관,서울특별시,광진구,화양동,흡연구역,1365.521,서울특별시 광진구 능동로 120,서울특별시 광진구 화양동 1,광진구청,37.54416818,127.0753642,2021-12-21,화양동-02-01-052-건국대학교 상허연구관.jpeg,
화양동-02-01-053,건국대학교 상허도서관 입구,상허도서관 입구,서울특별시,광진구,화양동,흡연구역,240.649,서울특별시 광진구 능동로 120,서울특별시 광진구 화양동 1,광진구청,37.54203127,127.073782,2021-12-21,화양동-02-01-053-건국대학교 상허도서관 입구.jpeg,
화양동-02-01-057,건국대학교 경영관뒤,경영관뒤,서울특별시,광진구,화양동,흡연구역,35.635,서울특별시 광진구 능동로 120,서울특별시 광진구 화양동 1,광진구청,37.54449602,127.0760509,2021-12-21,화양동-02-01-057-건국대학교 경영관뒤.jpeg,
