업종,흡연시설구분,흡연시설형태,상호명,시도명,시군구명,소재지도로명주소,데이터기준일자
사회복지시설,실외,개방형,서부장애인종합복지관,서울특별시,은평구,갈현로11길 30(구산동),2022-01-01
사회복지시설,실외,개방형,은평재활원,서울특별시,은평구,갈현로11길 30(구산동),2022-01-01
관광숙박업소,실외,개방형,브릭스관광호텔,서울특별시,은평구,은평로8길 1(응암동),2022-01-01
의료기관,실외,폐쇄형,은평병원,서울특별시,은평구,백련산로 90(응암동),2022-01-01
의료기관,실외,개방형,서북병원,서울특별시,은평구,갈현로 7길 49(역촌동),2022-01-01
의료기관,실외,폐쇄형,서북병원,서울특별시,은평구,갈현로 7길 49(역촌동),2022-01-01
의료기관,실외,폐쇄형,서북병원,서울특별시,은평구,갈현로 7길 49(역촌동),2022-01-01
청사,실외,폐쇄형,은평경찰서,서울특별시,은평구,연서로 365(불광동),2022-01-01
청사,실외,폐쇄형,은평구청 6층,서울특별시,은평구,은평로 195(녹번동),2022-01-01
청사,실외,폐쇄형,은평구청 주차장,서울특별시,은평구,은평로 195(녹번동),2022-01-01
청사,실외,개방형,은평소방서,서울특별시,은평구,통일로 962(진관동),2022-01-01
도서관,실외,개방형,증산정보도서관,서울특별시,은평구,증산로5길 6(증산동),2022-01-01
음식점,실외,개방형,포션 씨푸드,서울특별시,은평구,불광로 20 (대조동),2022-01-01
음식점,실외,폐쇄형,송추가마골,서울특별시,은평구,북한산로 276 예강1(진관동),2022-01-01
