시도명,시군구명,상호명,소재지도로명주소,업종,흡연실구분,흡연시설형태,데이터기준일자,
서울특별시,마포구,(주)히트브이알,서울특별시 마포구 양화로 141, 롯데호텔 L7홍대 2층 (동교동),게임제공업소,실외,완전폐쇄형,44669.0,
서울특별시,마포구,Funny Land(퍼니랜드),서울특별시 마포구 어울마당로 46-1, B1~2층 (서교동),게임제공업소,실외,완전폐쇄형,44669.0,
서울특별시,마포구,짱오락실 상암월드컵점,서울특별시 마포구 월드컵로 240, 월드컵주경기장 1층 (성산동),게임제공업소,실외,완전폐쇄형,44669.0,
서울특별시,마포구,GEEKSTAR PC CAFE,서울특별시 마포구 와우산로 155, 지하 1층 (서교동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,3POP PC방,서울특별시 마포구 신촌로16길 34, 지하1층 (노고산동, 백산빌딩),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,3POP PC방(마포구청역점),서울특별시 마포구 월드컵로 155 (망원동,가은빌딩 지하1층),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,탑플레이스 PC,서울특별시 마포구 월드컵북로16길 27, 3층 (성산동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,3POP 빈티지 PC CAFE,서울특별시 마포구 월드컵북로30길 13, 지하1층 (성산동, 성산월드타운대림아파트),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,피씨앤쿡,서울특별시 마포구 방울내로 79, 지하1층 (망원동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,인투스 피씨방,서울특별시 마포구 월드컵로 164 (성산동,2층),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,로드피씨,서울특별시 마포구 토정로 280, 지1층 (용강동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,3POP PC,서울특별시 마포구 토정로31길 12, 4층 (용강동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,피시 공간,서울특별시 마포구 월드컵로14길 5, 지하1층 (서교동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,긱스타 PC CAFE,서울특별시 마포구 월드컵로1길 14, B102~4호 (합정동, 마포 한강 푸르지오),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,포포PC방 공덕점,서울특별시 마포구 도화길 43, 나눔빌딩 지하1층 (도화동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,이룸PC,서울특별시 마포구 마포대로 38, 지하1층 (도화동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,아레나PC,서울특별시 마포구 독막로 147-7, 지하1층 (창전동, 서강쌍용예가),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,히어로 PC방,서울특별시 마포구 독막로 241 (대흥동,지하1층),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,3POP PC방(상수점),서울특별시 마포구 와우산로 47, 지하1층 (상수동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,VRIZ PC CAFE,서울특별시 마포구 양화로 136, 지2층 (서교동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,쓰리팝 PC CAFE,서울특별시 마포구 마포대로14길 21, 1층 (공덕동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,타임 피시 카페,서울특별시 마포구 만리재옛길 55-1 (공덕동,지층),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,라이또 PC 홍대점,서울특별시 마포구 양화로16길 15, 2층 201호 (서교동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,제노피시방(동교점),서울특별시 마포구 동교로27길 12, 지하1층 (동교동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,서강PC,서울특별시 마포구 백범로 28 (신수동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,토끼와거북이 PC CAFE,서울특별시 마포구 서강대길 12, 2층 (신수동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,넥스트 PC 서강대점,서울특별시 마포구 서강로16길 69, 지1층 (신수동),게임제공업소,실내,밀폐형,44669.0,
서울특별시,마포구,이로운 셀프PC방 신촌본점,서울특별시 마포구 신촌로16길 24, 지1층 (노고산동),게임제공업소,실내,밀폐형,44669.0,
