시도명,시군구명,상호명,소재지도로명주소,업종,흡연실구분,흡연시설형태,데이터기준일자,
서울특별시,마포구,서교빌딩,서울특별시 마포구 양화로78 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,일진빌딩,서울특별시 마포구 마포대로 45 (도화동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,고려빌딩,서울특별시 마포구 큰우물로 76 (도화동),사무용건축물,공장 및 복합건축물,실외,폐쇄형,44669.0,
서울특별시,마포구,루르메타워,서울특별시 마포구 월드컵북로 496 (상암동),사무용건축물,공장 및 복합건축물,실내,밀폐형,44669.0,
서울특별시,마포구,서부운전면허시험장,서울특별시 마포구 월드컵로42길 13 (상암동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,더모임,서울특별시 마포구 와우산로23길 8 (서교동),사무용건축물,공장 및 복합건축물,실외,폐쇄형,44669.0,
서울특별시,마포구,마포도서관,서울특별시 마포구 홍익로2가 16 (서교동),사무용건축물,공장 및 복합건축물,실외,폐쇄형,44669.0,
서울특별시,마포구,다보빌딩,서울특별시 마포구 마포대로 20 (마포동),사무용건축물,공장 및 복합건축물,실외,폐쇄형,44669.0,
서울특별시,마포구,마포타워빌딩,서울특별시 마포구 마포대로4다길 41 (마포동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,덕화빌딩,서울특별시 마포구 월드컵로 50 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,삼성화재합정빌딩,서울특별시 마포구 양화로 81 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,교평빌딩,서울특별시 마포구 잔다리로7길 16 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,코마빌딩,서울특별시 마포구 잔다리로 73 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,Y빌딩,서울특별시 마포구 동교로23길 67 (상암동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,디지털매직스페이스,서울특별시 마포구 월드컵북로54길 12 (상암동),사무용건축물,공장 및 복합건축물,실외,완전개방형,44669.0,
서울특별시,마포구,서울산업진흥원,서울특별시 마포구 월드컵북로 400 (상암동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,영화교육지원센터,서울특별시 마포구 와우산로143 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,서정빌딩,서울특별시 마포구 어울마당로138 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,홍익제일빌딩,서울특별시 마포구 동교로 107 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,길벗도서출판,서울특별시 마포구 월드컵로10길 56 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,디오래호텔,서울특별시 마포구 동교로 162-7 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,풍성빌딩,서울특별시 마포구 월드컵북로 21 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,경복궁,서울특별시 마포구 월드컵북로 37 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,지은빌딩,서울특별시 마포구 양화로 111 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,순흥빌딩,서울특별시 마포구 양화로 113 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,지엔씨미디어빌딩,서울특별시 마포구 동교로 156-4 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,성화빌딩,서울특별시 마포구 동교로 154 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,진영빌딩,서울특별시 마포구 동교로 128 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,서강빌딩,서울특별시 마포구 동교로 136 (서교동),사무용건축물,공장 및 복합건축물,실외,개방형,44669.0,
서울특별시,마포구,홍대A&K,서울특별시 마포구 양화로 188 (동교동),사무용건축물,공장 및 복합건축물,실외,완전폐쇄형,44669.0,
서울특별시,마포구,LG마포빌딩,서울특별시 마포구 마포대로 155 (공덕동),사무용건축물,공장 및 복합건축물,실외,완전폐쇄형,44669.0,
서울특별시,마포구,홀인원 골프연습장,서울특별시 마포구 마포대로 38, 지하1층 (도화동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,승승 당구클럽,서울특별시 마포구 토정로37길 41, 3층 (염리동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,공때리네당구장,서울특별시 마포구 월드컵북로44길 37, 지하,실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,D.M.C,서울특별시 마포구 월드컵북로44길 45, 지하1층 (상암동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,별당구장,서울특별시 마포구 월드컵북로48길 19, 지하1층 (상암동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,준당구장,서울특별시 마포구 동교로 144, 지1 (서교동),실내체육시설,실외,개방형,44669.0,
서울특별시,마포구,유정,서울특별시 마포구 월드컵로25길 58, 3층 (망원동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,합정 모나코 당구장,서울특별시 마포구 양화로1길 21 (합정동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,아현스크린비전골프존,서울특별시 마포구 굴레방로 27 (아현동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,아현스크린비전골프존,서울특별시 마포구 굴레방로 27 (아현동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,올레,서울특별시 마포구 마포대로14길 12, 지하1층 (공덕동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,챔프당구장,서울특별시 마포구 만리재옛길 100, 4층 (공덕동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,날마다당구장,서울특별시 마포구 마포대로14가길 4, 지하1층 (공덕동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,승승 당구클럽,서울특별시 마포구 토정로37길 41, 하나프라자 3층 (염리동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,디자인골프(주),서울특별시 마포구 백범로 139, 1층 (염리동, 서울디자인고등학교),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,염리당구장,서울특별시 마포구 백범로 135, 2층 (염리동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,렉스 스크린골프,서울특별시 마포구 월드컵북로54길 11, B101호 (상암동, 전자회관),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,엠케이당구장,서울특별시 마포구 만리재로 20-5, 3층 (신공덕동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,W락볼링센터,서울특별시 마포구 양화로 104 (서교동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,썬시티 스크린골프,서울특별시 마포구 토정로 295, 지하1층 (용강동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,준 당구장,서울특별시 마포구 동교로 144, 지하1층 (서교동),실내체육시설,실외,개방형,44669.0,
서울특별시,마포구,청기와 당구 클럽,서울특별시 마포구 월드컵북로5길 29, 지층 (서교동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,수정 당구장,서울특별시 마포구 마포대로 214, 샵 지층 (아현동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,라팔 당구장,서울특별시 마포구 마포대로 196, 고려아카데미텔 지층 2-1호 (아현동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,골드스크린골프존,서울특별시 마포구 마포대로 73 (도화동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,종점당구장,서울특별시 마포구 방울내로 66, 2층 (망원동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,상암스크린골프존,서울특별시 마포구 월드컵북로 434 (상암동, 상암 IT Tower),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,DMC스크린골프,서울특별시 마포구 월드컵북로 347, 201호 (상암동, 상암메디컬빌딩),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,공때리네 당구장,서울특별시 마포구 월드컵북로44길 37, 지층 (상암동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,369당구장,서울특별시 마포구 월드컵북로44길 39, 지하1층 (상암동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,삼성 당구장,서울특별시 마포구 도화길 28 (도화동, 삼성아파트상가 지하1층),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,승일당구장,서울특별시 마포구 성암로 55, 지하1층 (중동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,레인보우 당구장,서울특별시 마포구 성암로13길 44, 1층 (상암동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,용 당구장,서울특별시 마포구 희우정로 98, 2층 ,실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,영 당구장,서울특별시 마포구 망원로 96, 2층 (망원동),실내체육시설,실외,완전개방형,44669.0,
서울특별시,마포구,코코 당구장,서울특별시 마포구 망원로 97, 지하1층 (망원동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,큐앤구당구장,서울특별시 마포구 와우산로 48 (상수동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,골프존 디바 상암점,서울특별시 마포구  월드컵로34길 8, 지하1층 (성산동, 상암도시엔오피스텔),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,골프존파크 상암M,서울특별시 마포구  매봉산로 80,실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,준당구장,서울특별시 마포구  도화길 33, 4층 (도화동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,골드스크린골프존,서울특별시 마포구 마포대로 73 (도화동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,웅지,서울특별시 마포구 대흥로 180, 지하1층 (대흥동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,서경석골프존,서울특별시 마포구 대흥로4길 55 (용강동),실내체육시설,실외,개방형,44669.0,
서울특별시,마포구,상암스크린골프존,서울특별시 마포구 월드컵북로 434,실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,동신스크린골프,서울특별시 마포구 마포대로 115-12 지하1층 101-116,실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,스킬 당구장,서울특별시 마포구 성미산로 4,실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,삼양당구장,서울특별시 마포구 양화로7길 4,실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,홍대 당구장,서울특별시 마포구 동교로22길 1, 지하1층 (서교동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,당구매니아,서울특별시 마포구 홍익로6길 48 (동교동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,수당구클럽,서울특별시 마포구 동교로 219, 지층 (동교동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,금화당구장,서울특별시 마포구 월드컵북로2길 57, 지하1층 (동교동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,헤이 당구장,서울특별시 마포구 홍익로6길 10, 3층 (동교동, 준봉빌딩),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,명문당구장,서울특별시 마포구 홍익로 15, 3층 (서교동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,시코당구장,서울특별시 마포구 서강로 133, 지하1층 (노고산동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,하나로 당구클럽,서울특별시 마포구 신촌로12길 4, 지하1층 (동교동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,GS빌리어드클럽,서울특별시 마포구 신촌로16길 10, 3층 (노고산동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,에스디골프클럽,서울특별시 마포구 월드컵북로 45, 지하1층 (서교동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,서교 당구클럽,서울특별시 마포구 월드컵북로 47, 2층 (서교동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,프로당구클럽,서울특별시 마포구 월드컵북로 64, 3층 (성산동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,골드당구장,서울특별시 마포구 월드컵북로1길 50, 지하1층 (서교동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,청기와 당구 클럽,서울특별시 마포구 월드컵북로5길 29, 지층 (서교동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,서교스크린골프,서울특별시 마포구 월드컵북로7길 11, 지하1층 (서교동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,종점당구장,서울특별시 마포구 방울내로 66, 2층 (망원동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,성산 스크린골프,서울특별시 마포구 월드컵북로 216, 203동 201호 (성산동, 성산2차 e편한세상),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,콜당구장,서울특별시 마포구 월드컵북로7길 26, 2층 (서교동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,O·K 골프존,서울특별시 마포구 월드컵북로 114 (성산동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,블루 당구장,서울특별시 마포구 월드컵북로 132, 지하1층 (성산동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,허슬러2000당구장,서울특별시 마포구 마포대로 49, 지하1층 (도화동, 성우빌딩),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,삼창스크린골프,서울특별시 마포구 마포대로 63-8, 지하2층 (도화동, 삼창플라자),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,마포당구클럽,서울특별시 마포구 마포대로 63-8, 지하2층 1호 (도화동, 삼창플라자),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,염리당구장,서울특별시 마포구 백범로 135, 2층 (염리동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,마포스크린골프,서울특별시 마포구 창전로 32, 지하1층 (구수동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,명,서울특별시 마포구 토정로 294, 3층 (용강동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,썬시티 스크린골프,서울특별시 마포구 토정로 295, 지하1층 (용강동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,선일,서울특별시 마포구 토정로 317, 2층 (용강동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,대박당구클럽,서울특별시 마포구 토정로31길 23, 121동 203,204호 (용강동, 마포 리버웰),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,대니스 파크 골프클럽,서울특별시 마포구 토정로32길 4, 5층 (용강동),실내체육시설,실외,완전개방형,44669.0,
서울특별시,마포구,승승 당구클럽,서울특별시 마포구 토정로37길 41, 하나프라자 3층 (염리동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,합정 모나코 당구장,서울특별시 마포구 양화로1길 21 (합정동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,행운 당구장,서울특별시 마포구 월드컵로10길 5, 지하1층 (서교동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,삼성 당구장,서울특별시 마포구 도화길 28 (도화동, 삼성아파트상가 지하1층),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,프로공덕스크린골프,서울특별시 마포구 독막로 331, 지하1층 (도화동, 마스터즈타워),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,홀인원 스크린골프,서울특별시 마포구 마포대로 38, 지하1층 (도화동, 일신빌딩),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,수당구장,서울특별시 마포구 삼개로 11, 3층 (도화동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,큐클럽당구장,서울특별시 마포구 삼개로 16, 지하1층 (도화동, 근신빌딩),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,BILLIARD ST(빌리아드 스트리트 당구장),서울특별시 마포구 망원로 24, 태영빌딩 2층 (망원동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,영 당구장,서울특별시 마포구 망원로 96, 2층 (망원동),실내체육시설,실외,완전개방형,44669.0,
서울특별시,마포구,코코 당구장,서울특별시 마포구 망원로 97, 지하1층 (망원동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,마루 당구 클럽,서울특별시 마포구 독막로 230 (신수동, 우리빌딩 4층),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,제일플러스,서울특별시 마포구 만리재로 15, 301,302호 (공덕동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,공덕 당구장,서울특별시 마포구 만리재로 19, 2층 (공덕동, 공덕시장),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,엠케이당구장,서울특별시 마포구 만리재로 20-5, 3층 (신공덕동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,챔프당구장,서울특별시 마포구 만리재옛길 100, 4층 (공덕동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,큐앤구당구장,서울특별시 마포구 와우산로 48, 외 7필지 지하3층 (상수동, 로하스타워),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,로하스크린,서울특별시 마포구 와우산로 48, 지하3층 B301~B305호 (상수동, 로하스타워),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,성화,서울특별시 마포구 토정로 190, 3층 (구수동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,합정당구클럽,서울특별시 마포구 양화로 36, 2층 (합정동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,유니골프클럽,서울특별시 마포구 토정로 77 (당인동),실내체육시설,실외,완전개방형,44669.0,
서울특별시,마포구,아현 스크린골프존,서울특별시 마포구 굴레방로 27, 지하1층 (아현동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,드림당구장,서울특별시 마포구 마포대로 180, 지하1층 (공덕동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,라팔 당구장,서울특별시 마포구 마포대로 196, 고려아카데미텔 지층 2-1호 (아현동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,수정 당구장,서울특별시 마포구 마포대로 214, 샵 지층 (아현동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,날마다당구장,서울특별시 마포구 마포대로14가길 4, 지하1층 (공덕동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,준당구클럽,서울특별시 마포구 마포대로14길 11, 2층 (공덕동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,올레,서울특별시 마포구 마포대로14길 12, 지하1층 (공덕동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,P&G 스크린골프,서울특별시 마포구 만리재옛길 32 (신공덕동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,마포당구장,서울특별시 마포구 마포대로 179 (아현동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,서강 당구동아리,서울특별시 마포구 백범로 29, 지층 (신수동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,신촌마샹스,서울특별시 마포구 백범로 8, B301~303호 (노고산동, 우정마샹스),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,대흥당구장,서울특별시 마포구 백범로 88, 지하1층 (대흥동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,골드스크린골프존,서울특별시 마포구 마포대로 73, 지하1층 (도화동, SK허브그린),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,골프존드라이빙레인지공덕점,서울특별시 마포구 마포대로 173, 지하1층 (공덕동, 현대하이엘),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,레인보우 당구장,서울특별시 마포구 성암로13길 44, 1층 (상암동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,승일당구장,서울특별시 마포구 성암로 55, 지하1층 (중동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,DMC스크린골프,서울특별시 마포구 월드컵북로 347, 201호 (상암동, 상암메디컬빌딩),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,골프존파크 상암M,서울특별시 마포구 매봉산로 80, PARK M 2층 (상암동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,청인 당구장,서울특별시 마포구 매봉산로2길 15, 효인빌딩 3층 (상암동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,용,서울특별시 마포구 희우정로 98, 2층 (망원동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,퀸당구장,서울특별시 마포구 모래내로1길 3, 2층 (성산동, 한두빌딩),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,한큐당구장,서울특별시 마포구 모래내로3길 11, 상암 미르웰 한올림 오피스텔 지층 (성산동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,렉스 스크린골프,서울특별시 마포구 월드컵북로54길 11, B101호 (상암동, 전자회관),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,예인 골프존,서울특별시 마포구 월드컵북로43길 38, 지하2,3층 (상암동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,369 당구장,서울특별시 마포구 월드컵북로44길 39, 지하1층 (상암동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,공때리네 당구장,서울특별시 마포구 월드컵북로44길 37, 지층 (상암동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,D.M.C,서울특별시 마포구 월드컵북로44길 45, 지하1층 (상암동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,별당구장,서울특별시 마포구 월드컵북로48길 19, 상암 빌딩 지층 (상암동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,골프존 디바 상암점,서울특별시 마포구 월드컵로34길 8, 지하1층 (성산동, 상암도시엔오피스텔),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,어여와당구장,서울특별시 마포구 망원로 16, 2층 (망원동, 참존2차아파트),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,유정,서울특별시 마포구 월드컵로25길 58, 3층 (망원동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,VIP당구클럽,서울특별시 마포구 홍익로3길 8 (서교동),실내체육시설,실내,밀폐형,44669.0,
서울특별시,마포구,예니롱(Yennyron Dessert Shop),서울특별시 마포구 독막로2길 12 (합정동  1층일부),음식점,실외,폐쇄형,44669.0,
서울특별시,마포구,인버스YTN점,서울특별시 마포구 상암산로 76 (상암동  YTN뉴스퀘어 지1층일부),음식점,실외,폐쇄형,44669.0,
서울특별시,마포구,명륜진사갈비 합정역점,서울특별시 마포구 독막로 17  1 2층 (합정동),음식점,실외,개방형,44669.0,
서울특별시,마포구,위드커피,서울특별시 마포구 양화로18안길 12 (동교동  1 2층),음식점,실외,개방형,44669.0,
서울특별시,마포구,도화곱창,서울특별시 마포구 새창로2길 13 (도화동),음식점,실외,개방형,44669.0,
서울특별시,마포구,서부면허시험장,서울특별시 마포구 월드컵로42길 13,청사,실외,개방형,44669.0,
서울특별시,마포구,마포구청,서울특별시 마포구 월드컵로 212 (성산동),청사,실내,밀폐형,44669.0,
